old,ori,new,up,low,total,type,date,total1,type1,date1,total2,type2,date2,total3,type3,date3,,compare,type0,date0
80391,80630,79969.29552,98492.21273,66251.359,80391,old,2022/1/7,98492.21273,up,2022/1/7,98492.21273,up,2022/1/7,79969.29552,new,2022/1/7,,79969.29552,new,2022/1/7
91741,101503,89783.19955,109154.4348,75177.75144,91741,old,2022/1/8,109154.4348,up,2022/1/8,109154.4348,up,2022/1/8,89783.19955,new,2022/1/8,,89783.19955,new,2022/1/8
91147,91477,89687.86072,108184.8107,75588.77383,91147,old,2022/1/9,108184.8107,up,2022/1/9,108184.8107,up,2022/1/9,89687.86072,new,2022/1/9,,89687.86072,new,2022/1/9
154233,107134,153007.7961,195797.5594,122932.9474,154233,old,2022/1/10,195797.5594,up,2022/1/10,195797.5594,up,2022/1/10,153007.7961,new,2022/1/10,,153007.7961,new,2022/1/10
120702,153880,108592.0683,133061.9198,90341.52551,120702,old,2022/1/11,133061.9198,up,2022/1/11,133061.9198,up,2022/1/11,108592.0683,new,2022/1/11,,108592.0683,new,2022/1/11
127769,137586,116044.2209,143164.5467,96005.78723,127769,old,2022/1/12,143164.5467,up,2022/1/12,143164.5467,up,2022/1/12,116044.2209,new,2022/1/12,,116044.2209,new,2022/1/12
192006,132726,207365.6625,276631.3033,161335.149,192006,old,2022/1/13,276631.3033,up,2022/1/13,276631.3033,up,2022/1/13,207365.6625,new,2022/1/13,,207365.6625,new,2022/1/13
180087,169484,191062.5759,251611.8253,150122.2578,180087,old,2022/1/14,251611.8253,up,2022/1/14,251611.8253,up,2022/1/14,191062.5759,new,2022/1/14,,191062.5759,new,2022/1/14
190880,205880,193243.8179,254905.4493,151643.7969,190880,old,2022/1/15,254905.4493,up,2022/1/15,254905.4493,up,2022/1/15,193243.8179,new,2022/1/15,,193243.8179,new,2022/1/15
198506,209609,195841.2565,258852.6542,153445.4832,198506,old,2022/1/16,258852.6542,up,2022/1/16,258852.6542,up,2022/1/16,195841.2565,new,2022/1/16,,195841.2565,new,2022/1/16
208313,222197,201288.3053,267183.4735,157203.4364,208313,old,2022/1/17,267183.4735,up,2022/1/17,267183.4735,up,2022/1/17,201288.3053,new,2022/1/17,,201288.3053,new,2022/1/17
281361,220950,204705.7086,272438.281,159551.5541,281361,old,2022/1/18,272438.281,up,2022/1/18,272438.281,up,2022/1/18,204705.7086,new,2022/1/18,,204705.7086,new,2022/1/18
241495,280622,222718.4207,300490.404,171808.4083,241495,old,2022/1/19,300490.404,up,2022/1/19,300490.404,up,2022/1/19,222718.4207,new,2022/1/19,,222718.4207,new,2022/1/19
241428,243964,226188.7918,305961.2729,174148.2481,241428,old,2022/1/20,305961.2729,up,2022/1/20,305961.2729,up,2022/1/20,226188.7918,new,2022/1/20,,226188.7918,new,2022/1/20
254896,273727,236917.6454,323010.6503,181338.8925,254896,old,2022/1/21,323010.6503,up,2022/1/21,323010.6503,up,2022/1/21,236917.6454,new,2022/1/21,,236917.6454,new,2022/1/21
247206,241489,235014.4739,319971.4236,180068.0414,247206,old,2022/1/22,319971.4236,up,2022/1/22,319971.4236,up,2022/1/22,235014.4739,new,2022/1/22,,235014.4739,new,2022/1/22
256394,269929,242158.5504,331412.7306,184828.3306,256394,old,2022/1/23,331412.7306,up,2022/1/23,331412.7306,up,2022/1/23,242158.5504,new,2022/1/23,,242158.5504,new,2022/1/23
255866,258038,243633.0563,333785.3839,185807.4899,255866,old,2022/1/24,333785.3839,up,2022/1/24,333785.3839,up,2022/1/24,243633.0563,new,2022/1/24,,243633.0563,new,2022/1/24
264033,276404,250009.3549,344089.4928,190027.8937,264033,old,2022/1/25,344089.4928,up,2022/1/25,344089.4928,up,2022/1/25,250009.3549,new,2022/1/25,,250009.3549,new,2022/1/25
280076,302348,261615.394,363027.5367,197655.5645,280076,old,2022/1/26,363027.5367,up,2022/1/26,363027.5367,up,2022/1/26,261615.394,new,2022/1/26,,261615.394,new,2022/1/26
301923,331844,277645.9342,389569.7997,208079,301923,old,2022/1/27,389569.7997,up,2022/1/27,389569.7997,up,2022/1/27,277645.9342,new,2022/1/27,,277645.9342,new,2022/1/27
298050,296968,279376.5246,392461.8369,209196.7176,298050,old,2022/1/28,392461.8369,up,2022/1/28,392461.8369,up,2022/1/28,279376.5246,new,2022/1/28,,279376.5246,new,2022/1/28
303581,313220,285319.959,402433.4532,213024.3747,303581,old,2022/1/29,402433.4532,up,2022/1/29,402433.4532,up,2022/1/29,285319.959,new,2022/1/29,,285319.959,new,2022/1/29
297824,294687,283832.3997,399931.977,212067.8345,297824,old,2022/1/30,399931.977,up,2022/1/30,399931.977,up,2022/1/30,283832.3997,new,2022/1/30,,283832.3997,new,2022/1/30
316039,341314,296194.1108,420835.1646,219984.2484,316039,old,2022/1/31,420835.1646,up,2022/1/31,420835.1646,up,2022/1/31,296194.1108,new,2022/1/31,,296194.1108,new,2022/1/31
330724,351663,307777.8139,440661.1036,227338.1481,330724,old,2022/2/1,440661.1036,up,2022/2/1,440661.1036,up,2022/2/1,307777.8139,new,2022/2/1,,307777.8139,new,2022/2/1
343368,361908,318762.2466,459674.0751,234256.3039,343368,old,2022/2/2,459674.0751,up,2022/2/2,459674.0751,up,2022/2/2,318762.2466,new,2022/2/2,,318762.2466,new,2022/2/2
348515,358176,325411.8014,471283.4111,238418.5715,348515,old,2022/2/3,471283.4111,up,2022/2/3,471283.4111,up,2022/2/3,325411.8014,new,2022/2/3,,325411.8014,new,2022/2/3
351955,359679,330427.4453,480090.3355,241545.5379,351955,old,2022/2/4,480090.3355,up,2022/2/4,480090.3355,up,2022/2/4,330427.4453,new,2022/2/4,,330427.4453,new,2022/2/4
334610,319698,321378.2828,464232.1307,235896.0852,334610,old,2022/2/5,464232.1307,up,2022/2/5,464232.1307,up,2022/2/5,321378.2828,new,2022/2/5,,321378.2828,new,2022/2/5
321600,311018,312676.1785,449114.0241,230429.8681,321600,old,2022/2/6,449114.0241,up,2022/2/6,449114.0241,up,2022/2/6,312676.1785,new,2022/2/6,,312676.1785,new,2022/2/6
303815,288228,299393.6993,426288.3639,222021.6488,303815,old,2022/2/7,426288.3639,up,2022/2/7,426288.3639,up,2022/2/7,299393.6993,new,2022/2/7,,299393.6993,new,2022/2/7
317119,336236,305752.3544,437177.8537,226056.6521,317119,old,2022/2/8,437177.8537,up,2022/2/8,437177.8537,up,2022/2/8,305752.3544,new,2022/2/8,,305752.3544,new,2022/2/8
309929,305372,300693.1224,428508.047,222847.7421,309929,old,2022/2/9,428508.047,up,2022/2/9,428508.047,up,2022/2/9,300693.1224,new,2022/2/9,,300693.1224,new,2022/2/9
305947,304830,297198.035,422544.3037,220623.9011,305947,old,2022/2/10,422544.3037,up,2022/2/10,422544.3037,up,2022/2/10,297198.035,new,2022/2/10,,297198.035,new,2022/2/10
291324,278826,286373.6364,404207.623,213701.1997,291324,old,2022/2/11,404207.623,up,2022/2/11,404207.623,up,2022/2/11,286373.6364,new,2022/2/11,,286373.6364,new,2022/2/11
279557,269885,276441.0935,387559.701,207299.9855,279557,old,2022/2/12,387559.701,up,2022/2/12,387559.701,up,2022/2/12,276441.0935,new,2022/2/12,,276441.0935,new,2022/2/12
277156,277471,272530.3591,381051.3061,204766.4315,277156,old,2022/2/13,381051.3061,up,2022/2/13,381051.3061,up,2022/2/13,272530.3591,new,2022/2/13,,272530.3591,new,2022/2/13
268282,261521,264764.6709,368206.7523,199713.4046,268282,old,2022/2/14,368206.7523,up,2022/2/14,368206.7523,up,2022/2/14,264764.6709,new,2022/2/14,,264764.6709,new,2022/2/14
275950,287836,267898.1646,373377.1151,201755.9818,275950,old,2022/2/15,373377.1151,up,2022/2/15,373377.1151,up,2022/2/15,267898.1646,new,2022/2/15,,267898.1646,new,2022/2/15
280945,289721,270593.2371,377837.6992,203508.857,280945,old,2022/2/16,377837.6992,up,2022/2/16,377837.6992,up,2022/2/16,270593.2371,new,2022/2/16,,270593.2371,new,2022/2/16
306759,342003,286786.6076,404903.5011,213966.3264,306759,old,2022/2/17,404903.5011,up,2022/2/17,404903.5011,up,2022/2/17,286786.6076,new,2022/2/17,,286786.6076,new,2022/2/17
284920,265238,275101.6568,385327.6743,206433.116,284920,old,2022/2/18,385327.6743,up,2022/2/18,385327.6743,up,2022/2/18,275101.6568,new,2022/2/18,,275101.6568,new,2022/2/18
282252,282327,273183.6615,382136.6674,205190.1735,282252,old,2022/2/19,382136.6674,up,2022/2/19,382136.6674,up,2022/2/19,273183.6615,new,2022/2/19,,273183.6615,new,2022/2/19
276576,273306,269056.7856,375293.192,202509.9909,276576,old,2022/2/20,375293.192,up,2022/2/20,375293.192,up,2022/2/20,269056.7856,new,2022/2/20,,269056.7856,new,2022/2/20
276185,278731,268040.3006,373612.0481,201848.5172,276185,old,2022/2/21,373612.0481,up,2022/2/21,373612.0481,up,2022/2/21,268040.3006,new,2022/2/21,,268040.3006,new,2022/2/21
288590,306356,275488.0433,385970.9421,206683.1603,288590,old,2022/2/22,385970.9421,up,2022/2/22,385970.9421,up,2022/2/22,275488.0433,new,2022/2/22,,275488.0433,new,2022/2/22
281891,277576,271937.4752,380066.9608,204381.6961,281891,old,2022/2/23,380066.9608,up,2022/2/23,380066.9608,up,2022/2/23,271937.4752,new,2022/2/23,,271937.4752,new,2022/2/23
265321,250674,260676.8438,361487.1009,197041.314,265321,old,2022/2/24,361487.1009,up,2022/2/24,361487.1009,up,2022/2/24,260676.8438,new,2022/2/24,,260676.8438,new,2022/2/24
259504,255907,255246.0504,352605.207,193478.1979,259504,old,2022/2/25,352605.207,up,2022/2/25,352605.207,up,2022/2/25,255246.0504,new,2022/2/25,,255246.0504,new,2022/2/25
