word,date,all,hard,letter freq,Wordiness,first letter freq,repeat num,usual_p_add,vowel_num,usual_or_not,first_vowel_pos,tag,2,3,4,5
slump,44568,80630,1362,1,5,0,0,0.319955407,1,0,3,3,,,,
crank,44569,101503,1763,2,5,0,0,0.396878484,1,0,3,3,,,,
gorge,44570,91477,1913,3,5,0,1,0.399108138,2,0,2,1,,,,
query,44571,107134,2242,2,5,1,0,0.296544036,2,0,2,3,,,,
drink,44572,153880,3017,2,8,0,0,0.344481605,1,1,3,2,,,,
abbey,44574,132726,3345,2,5,0,1,0.336677815,2,1,1,1,,,,
tangy,44575,169484,3985,2,5,0,0,0.29877369,1,0,2,3,,,,
panic,44576,205880,4655,2,3,0,0,0.236343367,2,1,2,2,,,,
solar,44577,209609,4955,4,3,0,0,0.361204013,2,1,2,2,,,,
shire,44578,222197,5640,3,5,0,0,0.497212932,2,0,3,2,,,,
proxy,44579,220950,6206,2,5,0,0,0.379041249,1,0,3,1,,,,
point,44580,280622,7094,3,5,0,0,0.370122631,2,1,2,2,,,,
robot,44581,243964,6589,4,5,0,1,0.302118172,2,0,2,2,,,,
prick,44582,273727,7409,2,3,0,0,0.350055741,1,0,3,2,,,,
wince,44583,241489,6850,2,5,0,0,0.358974359,2,0,2,3,,,,
crimp,44584,269929,7630,2,5,0,0,0.360089186,1,0,3,2,,,,
knoll,44585,258038,8317,3,5,1,1,0.286510591,1,0,3,1,,,,
sugar,44586,276404,8708,2,5,0,0,0.32664437,2,1,2,3,,,,
whack,44587,302348,10163,1,5,0,0,0.324414716,1,0,3,3,,,,
mount,44588,331844,11451,2,5,0,0,0.317725753,2,1,2,2,,,,
perky,44589,296968,11148,2,5,0,0,0.2909699,1,0,2,3,,,,
could,44590,313220,11592,2,4,0,0,0.309921962,2,0,2,2,,,,
wrung,44591,294687,11524,1,8,0,0,0.287625418,1,0,3,3,,,,
light,44592,341314,13347,3,3,0,0,0.228539576,1,1,2,2,,,,
those,44593,351663,13606,3,1,0,0,0.409141583,2,0,3,2,,,,
moist,44594,361908,14205,3,3,0,0,0.370122631,2,1,2,2,,,,
shard,44595,358176,14609,2,3,0,0,0.405797101,1,0,3,3,,,,
pleat,44596,359679,14813,4,5,0,0,0.316610925,2,0,3,2,,,,
aloft,44597,319698,13708,4,7,0,0,0.342251951,2,1,1,3,,,,
skill,44598,311018,13716,3,3,0,1,0.390189521,1,1,3,3,,,,
elder,44599,288228,13340,4,5,1,1,0.288740245,2,1,1,1,,,,
frame,44600,336236,15369,3,5,0,0,0.518394649,2,1,3,1,,,,
humor,44601,305372,13846,2,5,0,0,0.190635452,2,0,2,3,,,,
pause,44602,304830,13480,2,5,0,0,0.412486065,3,1,2,2,,,,
ulcer,44603,278826,10631,3,3,1,0,0.288740245,2,0,1,3,,,,
ultra,44604,269885,9310,4,3,1,0,0.211817168,2,0,1,3,,,,
robin,44605,277471,3249,3,5,0,0,0.229654404,2,0,2,2,,,,
cynic,44606,261521,10343,1,3,0,1,0.204013378,1,0,4,3,,,,
aroma,44607,287836,10343,4,5,0,1,0.360089186,3,1,1,3,,,,
caulk,44608,289721,10740,2,5,0,0,0.309921962,2,0,2,3,,,,
shake,44609,342003,12767,2,8,0,0,0.53400223,2,1,3,1,,,,
dodge,44610,265238,10220,2,5,0,1,0.37458194,2,0,2,1,,,,
swill,44611,282327,11241,3,5,0,1,0.390189521,1,0,3,1,,,,
tacit,44612,273306,11094,4,8,0,1,0.313266444,2,0,2,3,,,,
other,44613,278731,10887,4,3,1,0,0.244147157,2,1,1,2,,,,
thorn,44614,306356,11814,3,3,0,0,0.273132664,1,1,3,2,,,,
trove,44615,277576,11411,4,2,0,0,0.469342252,2,0,3,1,,,,
bloke,44616,250674,10405,3,5,0,0,0.414715719,2,0,3,3,,,,
vivid,44617,255907,11687,2,5,1,2,0.202898551,2,1,2,1,,,,
spill,44618,248363,10087,3,5,0,1,0.390189521,1,1,3,3,,,,
chant,44619,250413,10438,2,3,0,0,0.379041249,1,0,3,2,,,,
choke,44620,251094,10521,2,8,0,0,0.413600892,2,1,3,2,,,,
rupee,44621,240137,10577,3,3,0,1,0.37458194,3,0,2,3,,,,
nasty,44622,257304,10813,2,3,1,0,0.2909699,1,1,2,2,,,,
mourn,44623,240018,10465,2,5,0,0,0.26309922,2,0,2,2,,,,
ahead,44624,203730,9396,3,7,0,1,0.283166109,3,1,1,3,,,,
brine,44625,229895,10405,3,3,0,0,0.481605351,2,0,3,2,,,,
cloth,44626,218595,9911,3,0,0,0,0.293199554,1,1,3,2,,,,
hoard,44627,218595,9823,3,3,0,0,0.356744705,2,0,2,2,,,,
