label,1 try,2 tries,3 tries,4 tries,5 tries,6 tries,7 or more tries (X)
3,1,3,23,39,24,9,1
3,1,5,23,31,24,14,2
1,1,3,13,27,30,22,4
3,1,4,16,30,30,17,2
2,1,9,35,34,16,5,1
1,1,4,15,26,29,21,4
1,1,2,13,29,31,20,3
3,1,4,21,30,24,15,5
2,1,9,35,34,16,5,1
2,1,9,32,32,18,7,1
2,1,8,32,32,18,8,2
1,1,2,11,24,31,26,6
2,1,16,37,28,12,4,1
2,1,8,29,34,20,8,1
2,1,8,30,33,19,7,1
3,1,3,17,33,29,15,3
2,1,5,28,38,20,7,1
1,1,1,11,29,33,21,4
3,1,6,25,34,23,9,1
3,1,4,22,37,24,10,2
2,1,9,29,33,19,7,1
3,1,4,17,30,27,17,4
2,1,7,29,35,20,8,1
3,0,2,18,39,27,12,2
2,1,10,25,27,19,12,5
2,1,13,34,30,15,6,1
2,3,13,32,29,16,7,1
3,1,7,22,28,25,14,4
2,1,10,28,31,19,9,2
3,1,4,22,36,25,11,2
3,1,3,17,33,27,16,3
1,1,3,13,24,30,24,5
1,1,10,20,24,24,17,3
3,1,5,22,34,25,11,2
2,1,8,26,32,21,10,2
3,1,4,18,30,28,16,3
3,1,7,23,34,24,10,1
2,1,6,29,34,21,8,1
3,1,6,25,33,22,11,2
3,1,6,25,33,22,11,2
3,1,4,20,31,26,15,3
1,1,6,16,23,24,21,9
1,1,3,15,29,27,19,7
1,1,1,8,19,31,30,10
3,1,4,21,32,26,14,3
2,1,9,26,30,21,10,2
2,1,14,38,30,12,4,0
1,1,5,16,24,25,22,8
3,1,6,21,32,25,12,2
1,1,2,10,29,33,21,4
3,1,5,26,34,22,10,2
2,1,9,33,33,16,7,1
2,1,8,30,36,18,6,1
3,1,2,17,35,30,13,2
2,1,7,26,31,21,11,2
2,1,8,29,34,19,8,1
3,1,5,20,35,26,12,2
2,1,9,25,29,22,12,3
2,1,8,33,34,17,7,1
2,1,9,30,34,19,7,1
3,1,5,18,31,28,15,2
2,1,5,26,37,22,8,1
2,0,8,31,34,19,7,1
1,1,6,14,18,17,24,20
2,1,7,29,35,20,7,1
3,1,4,23,36,24,10,1
3,0,5,19,33,28,13,2
2,1,16,32,30,16,6,1
1,1,7,19,22,19,18,15
3,1,5,18,30,26,16,3
2,1,8,31,34,19,6,1
3,0,5,21,32,26,14,3
3,0,4,20,33,27,13,2
2,2,14,36,30,13,4,0
3,0,2,19,36,27,13,2
3,1,4,22,35,26,11,2
2,1,14,35,31,14,5,1
2,0,5,29,36,20,7,1
1,0,2,13,31,33,18,3
3,1,2,18,44,26,26,9
1,1,6,17,22,20,21,14
3,0,3,17,30,28,17,4
1,0,5,16,24,27,21,6
1,0,2,9,26,32,24,8
1,1,4,19,27,26,18,5
2,1,16,33,28,15,6,1
1,0,2,10,24,32,26,6
3,0,3,16,31,30,16,3
3,0,2,14,32,32,17,3
3,0,2,13,33,33,17,3
